Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Access Type,Source,EID
"Waltman, L., Traag, V.","14632830700;35093318100;","Impact factors: Is the Nature Index at odds with DORA?",2017,"Nature","545","7655",,"412","",,,"10.1038/545412a","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019702374&doi=10.1038%2f545412a&partnerID=40&md5=3b6043926cae1b882280225487c79fe1",Letter,"Final",,Scopus,2-s2.0-85019702374
"van Eck, N.J., Waltman, L.","14632651000;14632830700;","Citation-based clustering of publications using CitNetExplorer and VOSviewer",2017,"Scientometrics","111","2",,"1053","1070",,76,"10.1007/s11192-017-2300-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85013994405&doi=10.1007%2fs11192-017-2300-7&partnerID=40&md5=4a77c07015939f747aa61fcf274ea0cf",Article,"Final",Open Access,Scopus,2-s2.0-85013994405
"Van Eck, N.J., Waltman, L.","14632651000;14632830700;","Accuracy of citation data in Web of Science and Scopus",2017,"ISSI 2017 - 16th International Conference on Scientometrics and Informetrics, Conference Proceedings",,,,"1087","1092",,1,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85036631189&partnerID=40&md5=d6978c083bfaa1f1df322ad00108103c",Conference Paper,"Final",,Scopus,2-s2.0-85036631189
"Waltman, L., Boyack, K.W., Colavizza, G., Van Eck, N.J.","14632830700;6603501746;56543751700;14632651000;","A principled methodology for comparing relatedness measures for clustering publications",2017,"ISSI 2017 - 16th International Conference on Scientometrics and Informetrics, Conference Proceedings",,,,"691","702",,4,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85036657853&partnerID=40&md5=7ac17a06aad55b6f003668cff4344b70",Conference Paper,"Final",,Scopus,2-s2.0-85036657853
"Boyack, K.W., Van Eck, N.J., Colavizza, G., Waltman, A.L.","6603501746;14632651000;56543751700;14632830700;","Reference behavior in the full text of scientific articles: A large-scale analysis",2017,"ISSI 2017 - 16th International Conference on Scientometrics and Informetrics, Conference Proceedings",,,,"787","798",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85036651473&partnerID=40&md5=83903053f0017a4707e4e7f8594e6088",Conference Paper,"Final",,Scopus,2-s2.0-85036651473
"Van Eck, N.J., Waltman, L., Song, M., Jeong, Y.K.","14632651000;14632830700;35243608100;55971717700;","Using full-text data to create improved term maps",2017,"ISSI 2017 - 16th International Conference on Scientometrics and Informetrics, Conference Proceedings",,,,"1136","1141",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85036631091&partnerID=40&md5=56e69fa3908b4f9c2d5ca2dcc8c4055c",Conference Paper,"Final",,Scopus,2-s2.0-85036631091
"Colavizza, G., Boyack, K.W., Van Eck, N.J., Waltman, L.","56543751700;6603501746;14632651000;14632830700;","Exploring the similarity of articles co-cited at different levels",2017,"ISSI 2017 - 16th International Conference on Scientometrics and Informetrics, Conference Proceedings",,,,"549","560",,1,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85036611709&partnerID=40&md5=e511f35eeb0c69dd0ba621eeb109076a",Conference Paper,"Final",,Scopus,2-s2.0-85036611709
"Waltman, L.","14632830700;","Special section on statistical inference in citation analysis",2016,"Journal of Informetrics","10","4",,"1224","",,1,"10.1016/j.joi.2016.09.008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84999810203&doi=10.1016%2fj.joi.2016.09.008&partnerID=40&md5=73c5909336854cefa88183604c54ab54",Editorial,"Final",,Scopus,2-s2.0-84999810203
"Waltman, L.","14632830700;","Conceptual difficulties in the use of statistical inference in citation analysis",2016,"Journal of Informetrics","10","4",,"1249","1252",,5,"10.1016/j.joi.2016.09.012","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84999666528&doi=10.1016%2fj.joi.2016.09.012&partnerID=40&md5=b0c19ead637e2b1eca120acac926670e",Letter,"Final",,Scopus,2-s2.0-84999666528
"Perianes-Rodriguez, A., Waltman, L., van Eck, N.J.","25723755700;14632830700;14632651000;","Constructing bibliometric networks: A comparison between full and fractional counting",2016,"Journal of Informetrics","10","4",,"1178","1195",,65,"10.1016/j.joi.2016.10.006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84993967401&doi=10.1016%2fj.joi.2016.10.006&partnerID=40&md5=d302c41e3f231c892dd365289ec60cca",Article,"Final",,Scopus,2-s2.0-84993967401
"Chorus, C., Waltman, L.","11940176900;14632830700;","A large-scale analysis of impact factor biased journal self-citations",2016,"PLoS ONE","11","8", e0161021,"","",,24,"10.1371/journal.pone.0161021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84990051165&doi=10.1371%2fjournal.pone.0161021&partnerID=40&md5=af29bfef1af992103ff897ba6f221ebe",Article,"Final",Open Access,Scopus,2-s2.0-84990051165
"Waltman, L.","14632830700;","Special section on size-independent indicators in citation analysis",2016,"Journal of Informetrics","10","2",,"645","",,1,"10.1016/j.joi.2016.04.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964594807&doi=10.1016%2fj.joi.2016.04.001&partnerID=40&md5=c85637761dc3daa836f30aff33e7170d",Editorial,"Final",,Scopus,2-s2.0-84964594807
"Waltman, L.","14632830700;","A review of the literature on citation impact indicators",2016,"Journal of Informetrics","10","2",,"365","391",,203,"10.1016/j.joi.2016.02.007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960933179&doi=10.1016%2fj.joi.2016.02.007&partnerID=40&md5=ea7ca917537c77042357d97799234c5e",Review,"Final",,Scopus,2-s2.0-84960933179
"Wang, Q., Waltman, L.","57148861200;14632830700;","Large-scale analysis of the accuracy of the journal classification systems of Web of Science and Scopus",2016,"Journal of Informetrics","10","2",,"347","364",,41,"10.1016/j.joi.2016.02.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84959513043&doi=10.1016%2fj.joi.2016.02.003&partnerID=40&md5=a966ee0700cee1c56c8975e78780865d",Article,"Final",,Scopus,2-s2.0-84959513043
"Waltman, L., van Eck, N.J., Visser, M., Wouters, P.","14632830700;14632651000;7102107028;7007025330;","The elephant in the room: The problem of quantifying productivity in evaluative scientometrics",2016,"Journal of Informetrics","10","2",,"671","674",,5,"10.1016/j.joi.2015.12.008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964228107&doi=10.1016%2fj.joi.2015.12.008&partnerID=40&md5=ecb6db01afe739525610c9fde56e9b21",Letter,"Final",,Scopus,2-s2.0-84964228107
"Šubelj, L., Van Eck, N.J., Waltman, L.","36451276700;14632651000;14632830700;","Clustering scientific publications based on citation relations: A systematic comparison of different methods",2016,"PLoS ONE","11","4", e0154404,"","",,21,"10.1371/journal.pone.0154404","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84975297722&doi=10.1371%2fjournal.pone.0154404&partnerID=40&md5=466debc94d31b187fbafd63d9ae45b86",Article,"Final",Open Access,Scopus,2-s2.0-84975297722
